Time,Time Code,Country Name,Country Code,"Population ages 0-14, total [SP.POP.0014.TO]","Population ages 15-64, total [SP.POP.1564.TO]","Population ages 65 and above, total [SP.POP.65UP.TO]","Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Population density (people per sq. km of land area) [EN.POP.DNST],Rural population [SP.RUR.TOTL],Urban population (% of total) [SP.URB.TOTL.IN.ZS]
2005,YR2005,Indonesia,IDN,68126186,147729473,10857071,226712730,1.37594559975259,125.147098925242,122556368,45.942
2005,YR2005,Singapore,SGP,816654,3098066,351041,4265762,2.35051128857175,6191.23657474601,0,100
2005,YR2005,"Korea, Rep.",KOR,9073094,34841188,4270278,48184561,0.211997784117548,497.517408363449,8988830,81.345
2005,YR2005,Thailand,THA,13931027,46416342,5078101,65425470,0.649003980511151,128.061754976609,40949147,37.411
2005,YR2005,Philippines,PHL,31986181,51289144,2998912,86274237,1.86693754332806,289.345799376195,46838283,45.71
2005,YR2005,Malaysia,MYS,7815209,16714412,1129772,25659393,1.90936576886761,78.0988981890123,8571777,66.594
2006,YR2006,Germany,DEU,11673098,54795061,15908293,82376451,-0.112797497644931,236.225197866483,19622894,76.179
2006,YR2006,France,FRA,11704741,41420806,10495834,63621381,0.697207001264929,116.191338983887,14393065,77.377
2006,YR2006,Spain,ESP,6378821,30577300,7441198,44397319,1.69035255626114,88.9761493446631,9988509,77.502
2006,YR2006,Switzerland,CHE,1198493,5089381,1196060,7483934,0.627558473346134,189.385176000202,1982943,73.504
2006,YR2006,Sweden,SWE,1574932,5925933,1579641,9080505,0.562483906481893,22.1292221084954,1413835,84.43
2006,YR2006,Italy,ITA,8198506,38459984,11485489,58143979,0.30055968851778,197.674505337594,18689801,67.856
2006,YR2006,United Kingdom,GBR,10848738,40186774,9811308,60846820,0.73504867842129,251.50589013351,12048279,80.199
2006,YR2006,Denmark,DNK,1013190,3587338,836744,5437272,0.328645158919929,128.146877209522,755890,86.098
2006,YR2006,Belgium,BEL,1803492,6918091,1826375,10547958,0.659558214980699,348.347357992074,268551,97.454
2006,YR2006,China,CHN,252614864,955751731,102653405,1311020000,0.558374367373002,139.645342881819,735901746,43.868
2006,YR2006,Japan,JPN,17499244,84556191,25798566,127854000,0.0633735894181335,350.765432098765,16470152,87.118
2006,YR2006,India,IND,376811884,728846310,56319525,1161977719,1.54888599557035,390.818521184317,818392527,29.569
2006,YR2006,Indonesia,IDN,68352677,150362241,11123284,229838202,1.36918823633889,126.87238251903,122416423,46.738
2006,YR2006,Singapore,SGP,829548,3199517,372300,4401365,3.1293891560754,6342.02449567723,0,100
2006,YR2006,"Korea, Rep.",KOR,8880369,35090058,4467865,48438292,0.525199940498775,499.982369942197,8947521,81.528
2006,YR2006,Thailand,THA,13711929,46857356,5254879,65824164,0.60753727712592,128.842146058838,40367985,38.673
2006,YR2006,Philippines,PHL,32098104,52548321,3162994,87809419,1.76377476599632,294.494479659255,47746372,45.625
2006,YR2006,Malaysia,MYS,7840749,17114555,1188262,26143566,1.86934147598468,79.5725642976716,8501103,67.483
2007,YR2007,Germany,DEU,11500283,54564846,16201243,82266372,-0.133718572600486,235.943361918146,19432962,76.378
2007,YR2007,France,FRA,11777568,41674180,10564479,64016227,0.618700500131675,116.912443818634,14326191,77.621
2007,YR2007,Spain,ESP,6525354,31088060,7613389,45226803,1.85108130845179,90.6149005229308,10067486,77.74
2007,YR2007,Switzerland,CHE,1188817,5141030,1221269,7551117,0.893690977823134,191.090115396295,1998781,73.53
2007,YR2007,Sweden,SWE,1566059,5976662,1605370,9148092,0.741552514625445,22.2939318613832,1409904,84.588
2007,YR2007,Italy,ITA,8237464,38561468,11639378,58438310,0.504933687397673,198.675154688244,18715453,67.974
2007,YR2007,United Kingdom,GBR,10871256,40522451,9928755,61322463,0.778666112441256,253.471925763651,11970758,80.479
2007,YR2007,Denmark,DNK,1010669,3595619,855150,5461438,0.443466054321374,128.716427056328,748599,86.293
2007,YR2007,Belgium,BEL,1810252,6977756,1837692,10625700,0.734330830765919,350.914795244386,265111,97.505
2007,YR2007,China,CHN,247104066,965895928,104885006,1317885000,0.522271866392275,140.376588050196,722214159,45.199
2007,YR2007,Japan,JPN,17392559,84115042,26493399,128001000,0.114908847726211,351.168724279835,15173239,88.146
2007,YR2007,India,IND,378289367,743374311,58017561,1179681239,1.51207819963874,396.772906877798,826885768,29.906
2007,YR2007,Indonesia,IDN,68659977,152976177,11352987,232989141,1.3616255522272,128.611724084634,122237753,47.535
2007,YR2007,Singapore,SGP,850910,3340641,397048,4588599,4.16600286360933,6602.30071942446,0,100
2007,YR2007,"Korea, Rep.",KOR,8669560,35352731,4661347,48683638,0.505234032920336,502.307449442839,8942697,81.631
2007,YR2007,Thailand,THA,13500590,47268419,5426606,66195615,0.562721711848241,129.569212550647,39750467,39.95
